round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
1,red,Nf3,0,0,0,0,Ne1-f3,e1,f3,Knight,0,,43,43,43,43,16,16,16,16
1,blue,d4,0,0,0,0,b4-d4,b4,d4,Pawn,0,,43,43,43,43,16,16,16,16
1,yellow,h11,0,0,0,0,h13-h11,h13,h11,Pawn,0,,43,43,43,43,16,16,16,16
1,green,l10,0,0,0,0,m10-l10,m10,l10,Pawn,0,,43,43,43,43,16,16,16,16
2,red,d3,0,0,0,0,d2-d3,d2,d3,Pawn,0,,43,43,43,43,16,16,16,16
2,blue,c10,0,0,0,0,b10-c10,b10,c10,Pawn,0,,43,43,43,43,16,16,16,16
2,yellow,h10,0,0,0,0,h11-h10,h11,h10,Pawn,0,,43,43,43,43,16,16,16,16
2,green,Nl9,0,0,0,0,Nn10-l9,n10,l9,Knight,0,,43,43,43,43,16,16,16,16
3,red,j3,0,0,0,0,j2-j3,j2,j3,Pawn,0,,43,43,43,43,16,16,16,16
3,blue,Bb10,0,0,0,0,Ba9-b10,a9,b10,Bishop,0,,43,43,43,43,16,16,16,16
3,yellow,h9,0,0,0,0,h10-h9,h10,h9,Pawn,0,,43,43,43,43,16,16,16,16
3,green,Nk11,0,0,0,0,Nl9-k11,l9,k11,Knight,0,,43,43,43,43,16,16,16,16
4,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,,43,43,43,43,16,16,16,16
4,blue,Nc9,0,0,0,0,Na10-c9,a10,c9,Knight,0,,43,43,43,43,16,16,16,16
4,yellow,k12,0,0,0,0,k13-k12,k13,k12,Pawn,0,,43,43,43,43,16,16,16,16
4,green,l4,0,0,0,0,m4-l4,m4,l4,Pawn,0,,43,43,43,43,16,16,16,16
5,red,g4,0,0,0,0,g2-g4,g2,g4,Pawn,0,,43,43,43,43,16,16,16,16
5,blue,c5,0,0,0,0,b5-c5,b5,c5,Pawn,0,,43,43,43,43,16,16,16,16
5,yellow,h8,0,0,0,0,h9-h8,h9,h8,Pawn,0,,43,43,43,43,16,16,16,16
5,green,Nl6,0,0,0,0,Nn5-l6,n5,l6,Knight,0,,43,43,43,43,16,16,16,16
6,red,g5,0,0,0,0,g4-g5,g4,g5,Pawn,0,,43,43,43,43,16,16,16,16
6,blue,Bb5,0,0,0,0,Ba6-b5,a6,b5,Bishop,0,,43,43,43,43,16,16,16,16
6,yellow,i12,0,0,0,0,i13-i12,i13,i12,Pawn,0,,43,43,43,43,16,16,16,16
6,green,Bm10,0,0,0,0,Bn9-m10,n9,m10,Bishop,0,,43,43,43,43,16,16,16,16
7,red,g6,0,0,0,0,g5-g6,g5,g6,Pawn,0,,43,43,43,43,16,16,16,16
7,blue,d6,0,0,0,0,b6-d6,b6,d6,Pawn,0,,43,43,43,43,16,16,16,16
7,yellow,e12,0,0,0,0,e13-e12,e13,e12,Pawn,0,,43,43,43,43,16,16,16,16
7,green,l7,0,0,0,0,m7-l7,m7,l7,Pawn,0,,43,43,43,43,16,16,16,16
8,red,g7,0,0,0,0,g6-g7,g6,g7,Pawn,0,,43,43,43,43,16,16,16,16
