coordinate,value
c7,10
h8,9
d5,6
g7,5
h1,5
d8,4
i3,4
d6,4
f3,4
f6,4
n8,4
c6,3
e4,3
g6,3
j2,3
k7,3
d4,3
j11,3
c8,3
h5,3
l6,3
e5,3
k4,3
c9,3
b7,3
d7,3
k11,3
h6,2
h7,2
l10,2
b8,2
d3,2
a4,2
i12,2
h4,2
i7,2
f10,2
c5,2
j1,2
h13,2
g8,2
j10,2
k8,2
g11,2
h12,2
e2,2
h10,2
m5,2
h9,2
g4,2
i1,2
h14,2
i4,2
k9,2
g14,2
i14,2
j7,2
h11,2
e13,1
i8,1
j3,1
g10,1
e12,1
b4,1
d1,1
e1,1
i11,1
j8,1
j5,1
c4,1
e3,1
e8,1
k3,1
k5,1
m7,1
l4,1
f11,1
a9,1
i5,1
m10,1
d14,1
g9,1
b10,1
a6,1
g5,1
k6,1
j12,1
h3,1
e14,1
f7,1
g13,1
d10,1
e6,1
g12,1
g3,1
m9,1
m6,1
a10,1
f9,1
f8,1
n5,1
e7,1
k2,1
f12,1
m8,1
j4,1
m4,1
d11,1
e9,1
