round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
1,red,j3,0,0,0,0,j2-j3,j2,j3,Pawn,0,,43,43,43,43,16,16,16,16
1,blue,c7,0,0,0,0,b7-c7,b7,c7,Pawn,0,,43,43,43,43,16,16,16,16
1,yellow,g11,0,0,0,0,g13-g11,g13,g11,Pawn,0,,43,43,43,43,16,16,16,16
1,green,k7,0,0,0,0,m7-k7,m7,k7,Pawn,0,,43,43,43,43,16,16,16,16
2,red,Bj2,0,0,0,0,Bi1-j2,i1,j2,Bishop,0,,43,43,43,43,16,16,16,16
2,blue,Bb7,0,0,0,0,Ba6-b7,a6,b7,Bishop,0,,43,43,43,43,16,16,16,16
2,yellow,Ng13,0,0,0,0,Ne14-g13,e14,g13,Knight,0,,43,43,43,43,16,16,16,16
2,green,k8,0,0,0,0,m8-k8,m8,k8,Pawn,0,,43,43,43,43,16,16,16,16
3,red,e3,0,0,0,0,e2-e3,e2,e3,Pawn,0,,43,43,43,43,16,16,16,16
3,blue,c4,0,0,0,0,b4-c4,b4,c4,Pawn,0,,43,43,43,43,16,16,16,16
3,yellow,Ni12,0,0,0,0,Nj14-i12,j14,i12,Knight,0,,43,43,43,43,16,16,16,16
3,green,j8,0,0,0,0,k8-j8,k8,j8,Pawn,0,,43,43,43,43,16,16,16,16
4,red,Be2,0,0,0,0,Bf1-e2,f1,e2,Bishop,0,,43,43,43,43,16,16,16,16
4,blue,Nc9,0,0,0,0,Na10-c9,a10,c9,Knight,0,,43,43,43,43,16,16,16,16
4,yellow,h11,0,0,0,0,h13-h11,h13,h11,Pawn,0,,43,43,43,43,16,16,16,16
4,green,Nm8,0,0,0,0,Nn10-m8,n10,m8,Knight,0,,43,43,43,43,16,16,16,16
5,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,,43,43,43,43,16,16,16,16
5,blue,d8,0,0,0,0,b8-d8,b8,d8,Pawn,0,,43,43,43,43,16,16,16,16
5,yellow,g10,0,0,0,0,g11-g10,g11,g10,Pawn,0,,43,43,43,43,16,16,16,16
5,green,k9,0,0,0,0,m9-k9,m9,k9,Pawn,0,,43,43,43,43,16,16,16,16
6,red,Nf3,0,0,0,0,Ne1-f3,e1,f3,Knight,0,,43,43,43,43,16,16,16,16
6,blue,Bc6,0,0,0,0,Bb7-c6,b7,c6,Bishop,0,,43,43,43,43,16,16,16,16
6,yellow,g9,0,0,0,0,g10-g9,g10,g9,Pawn,0,,43,43,43,43,16,16,16,16
6,green,Nl6,0,0,0,0,Nn5-l6,n5,l6,Knight,0,,43,43,43,43,16,16,16,16
7,red,h3,0,0,0,0,h2-h3,h2,h3,Pawn,0,,43,43,43,43,16,16,16,16
7,blue,Bb8,0,0,0,0,Ba9-b8,a9,b8,Bishop,0,,43,43,43,43,16,16,16,16
7,yellow,g8,0,0,0,0,g9-g8,g9,g8,Pawn,0,,43,43,43,43,16,16,16,16
7,green,l4,0,0,0,0,m4-l4,m4,l4,Pawn,0,,43,43,43,43,16,16,16,16
8,red,g3,0,0,0,0,g2-g3,g2,g3,Pawn,0,,43,43,43,43,16,16,16,16
8,blue,Nb7,0,0,0,0,Na5-b7,a5,b7,Knight,0,,43,43,43,43,16,16,16,16
8,yellow,g7=Q,0,0,0,0,g8-g7=D,g8,g7,Queen,0,,43,43,51,43,16,16,16,16
8,green,Bm7,0,0,0,0,Bn6-m7,n6,m7,Bishop,0,,43,43,51,43,16,16,16,16
9,red,O-O,0,0,0,0,O-O,h1,j1,King,0,,43,43,51,43,16,16,16,16
9,blue,Nc5,0,0,0,0,Nb7-c5,b7,c5,Knight,0,,43,43,51,43,16,16,16,16
9,yellow,e12,0,0,0,0,e13-e12,e13,e12,Pawn,0,,43,43,51,43,16,16,16,16
9,green,j7,0,0,0,0,k7-j7,k7,j7,Pawn,0,,43,43,51,43,16,16,16,16
10,red,d4,0,0,0,0,d2-d4,d2,d4,Pawn,0,,43,43,51,43,16,16,16,16
10,blue,Nd3,0,0,0,0,Nc5-d3,c5,d3,Knight,0,,43,43,51,43,16,16,16,16
10,yellow,Bxb10,0,0,0,0,Bf14xb10,f14,b10,Bishop,1,,43,42,51,43,16,15,16,16
10,green,i8,0,0,1,0,j8-i8,j8,i8,Pawn,0,,43,42,51,43,16,15,16,16
11,red,Bxd3,0,0,1,0,Be2xNd3,e2,d3,Bishop,1,,43,39,51,43,16,14,16,16
11,blue,Ra10,3,0,1,0,Ra11-a10,a11,a10,Rook,0,,43,39,51,43,16,14,16,16
11,yellow,Be13,3,0,1,0,Bb10-e13,b10,e13,Bishop,0,,43,39,51,43,16,14,16,16
11,green,O-O,3,0,1,0,O-O,n7,n5,King,0,,43,39,51,43,16,14,16,16
12,red,Be2,3,0,1,0,Bd3-e2,d3,e2,Bishop,0,,43,39,51,43,16,14,16,16
12,blue,d7,3,0,1,0,c7-d7,c7,d7,Pawn,0,,43,39,51,43,16,14,16,16
12,yellow,k11,3,0,1,0,k13-k11,k13,k11,Pawn,0,,43,39,51,43,16,14,16,16
12,green,l10,3,0,1,0,m10-l10,m10,l10,Pawn,0,,43,39,51,43,16,14,16,16
13,red,Ne5,3,0,1,0,Nf3-e5,f3,e5,Knight,0,,43,39,51,43,16,14,16,16
13,blue,Bd5,3,0,1,0,Bc6-d5,c6,d5,Bishop,0,,43,39,51,43,16,14,16,16
13,yellow,d11,3,0,1,0,d13-d11,d13,d11,Pawn,0,,43,39,51,43,16,14,16,16
13,green,10xk11,3,0,1,0,l10xk11,l10,k11,Pawn,1,,43,39,50,43,16,14,15,16
14,red,f3,3,0,1,1,f2-f3,f2,f3,Pawn,0,,43,39,50,43,16,14,15,16
14,blue,Ne8,3,0,1,1,Nc9-e8,c9,e8,Knight,0,,43,39,50,43,16,14,15,16
