round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
1,red,h4,0,0,0,0,h2-h4,h2,h4,Pawn,0,,43,43,43,43,16,16,16,16
1,blue,d8,0,0,0,0,b8-d8,b8,d8,Pawn,0,,43,43,43,43,16,16,16,16
1,yellow,e12,0,0,0,0,e13-e12,e13,e12,Pawn,0,,43,43,43,43,16,16,16,16
1,green,l10,0,0,0,0,m10-l10,m10,l10,Pawn,0,,43,43,43,43,16,16,16,16
2,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,,43,43,43,43,16,16,16,16
2,blue,c11,0,0,0,0,b11-c11,b11,c11,Pawn,0,,43,43,43,43,16,16,16,16
2,yellow,k12,0,0,0,0,k13-k12,k13,k12,Pawn,0,,43,43,43,43,16,16,16,16
2,green,l5,0,0,0,0,m5-l5,m5,l5,Pawn,0,,43,43,43,43,16,16,16,16
3,red,Bxa9,0,0,0,0,Bi1xBa9,i1,a9,Bishop,1,,43,38,43,43,16,15,16,16
3,blue,Kxa9,5,0,0,0,Ka8xBa9,a8,a9,King,1,,38,38,43,43,15,15,16,16
3,yellow,d12,5,5,0,0,d13-d12,d13,d12,Pawn,0,,38,38,43,43,15,15,16,16
3,green,Bm5,5,5,0,0,Bn6-m5,n6,m5,Bishop,0,,38,38,43,43,15,15,16,16
4,red,O-O,5,5,0,0,O-O,h1,j1,King,0,,38,38,43,43,15,15,16,16
4,blue,c7,5,5,0,0,b7-c7,b7,c7,Pawn,0,,38,38,43,43,15,15,16,16
4,yellow,Rd13,5,5,0,0,Rd14-d13,d14,d13,Rook,0,,38,38,43,43,15,15,16,16
4,green,k7,5,5,0,0,m7-k7,m7,k7,Pawn,0,,38,38,43,43,15,15,16,16
5,red,g4,5,5,0,0,g2-g4,g2,g4,Pawn,0,,38,38,43,43,15,15,16,16
5,blue,Bb7,5,5,0,0,Ba6-b7,a6,b7,Bishop,0,,38,38,43,43,15,15,16,16
5,yellow,dxc11,5,5,0,0,d12xc11,d12,c11,Pawn,1,,38,37,43,43,15,14,16,16
5,green,Qj4,5,5,1,0,Qn8-j4,n8,j4,Queen,0,,38,37,43,43,15,14,16,16
6,red,k3,5,5,1,0,k2-k3,k2,k3,Pawn,0,,38,37,43,43,15,14,16,16
6,blue,10xc11,5,5,1,0,b10xc11,b10,c11,Pawn,1,,38,37,42,43,15,14,15,16
6,yellow,Be13,5,6,1,0,Bf14-e13,f14,e13,Bishop,0,,38,37,42,43,15,14,15,16
6,green,Bxk3,5,6,1,0,Bm5xk3,m5,k3,Bishop,1,,37,37,42,43,14,14,15,16
7,red,Nh1,5,6,1,1,Ni3-h1,i3,h1,Knight,0,,37,37,42,43,14,14,15,16
7,blue,Bxh1,5,6,1,1,Bb7xNh1,b7,h1,Bishop,1,,34,37,42,43,13,14,15,16
7,yellow,Bxk7,5,9,1,1,Be13xk7,e13,k7,Bishop,1,,34,37,42,42,13,14,15,15
7,green,Qxj2+#,5,9,2,1,Qj4xj2+#,j4,j2,Queen,1,red,33,37,42,42,12,14,15,15
8,red,,5,9,2,22,,,,Pawn,0,,33,37,42,42,12,14,15,15
