coordinate,value
b7,6
l6,4
j9,4
c6,4
i3,3
m5,3
h9,3
l7,3
j10,3
h8,3
d5,3
f12,3
n5,3
j5,3
k6,3
i11,2
e6,2
d7,2
f11,2
i5,2
l8,2
j14,2
h7,2
e7,2
e3,2
k9,2
m9,2
i12,2
l11,2
i8,2
c4,2
a4,2
g3,2
b5,2
i4,2
j2,2
l9,2
l4,1
k10,1
h13,1
f5,1
d6,1
d11,1
e13,1
n7,1
f4,1
h4,1
k4,1
h12,1
l10,1
j1,1
m7,1
g8,1
l5,1
j8,1
g2,1
n6,1
e14,1
m10,1
m8,1
e1,1
f7,1
e8,1
h10,1
h5,1
j12,1
a8,1
g7,1
n9,1
h2,1
k11,1
f3,1
a6,1
d14,1
i1,1
g10,1
k8,1
h1,1
e12,1
h11,1
j11,1
f1,1
h6,1
d2,1
n10,1
n4,1
d1,1
