coordinate,value
g3,10
l8,7
j8,6
i10,5
g7,5
g2,5
g10,5
i9,5
d6,4
h1,4
c11,4
h11,4
k8,4
b7,4
h10,4
e5,4
i8,4
g11,4
k7,4
f2,3
k5,3
g6,3
g5,3
f6,3
j7,3
a9,3
g8,3
e1,3
c6,3
n8,3
h5,3
c9,3
m11,3
f1,3
n9,3
b8,2
d4,2
n10,2
g4,2
a5,2
i4,2
d10,2
e4,2
d5,2
h8,2
i6,2
f11,2
e3,2
f3,2
d7,2
h2,2
e10,2
i11,2
a6,2
j5,2
b4,2
a4,1
e7,1
i1,1
j13,1
h7,1
d11,1
c5,1
k6,1
i5,1
f12,1
i2,1
m6,1
h4,1
f4,1
m10,1
i12,1
g14,1
j10,1
d2,1
e8,1
f9,1
e9,1
j3,1
d1,1
k10,1
n5,1
k11,1
j6,1
j12,1
e6,1
l5,1
f14,1
g12,1
e12,1
n6,1
e14,1
g1,1
d13,1
f7,1
l4,1
m8,1
j9,1
l11,1
h6,1
e13,1
c8,1
i3,1
f10,1
n7,1
a10,1
l10,1
h9,1
b11,1
e2,1
a11,1
e11,1
f5,1
h3,1
c4,1
g9,1
i14,1
l7,1
l9,1
n11,1
d3,1
