coordinate,value
h7,6
d12,4
g13,4
l11,4
j11,3
d11,3
l7,3
g10,3
f12,3
h12,3
k10,3
g8,3
e3,3
h2,3
f11,3
f10,3
h5,3
m8,3
i14,2
c6,2
h13,2
h8,2
b5,2
m5,2
c7,2
k12,2
i12,2
e2,2
e11,2
j13,2
a8,2
e13,2
k13,2
n6,2
j8,2
g7,2
m10,2
l10,2
k7,2
g1,2
g5,2
g14,2
i7,1
a11,1
h6,1
c4,1
d7,1
d6,1
l8,1
k4,1
j7,1
d4,1
h11,1
d9,1
h4,1
l4,1
h9,1
g11,1
d8,1
k9,1
k5,1
i13,1
f7,1
j12,1
i9,1
n8,1
f1,1
c10,1
j9,1
a10,1
h14,1
i3,1
l9,1
l6,1
a9,1
f3,1
n5,1
b9,1
e7,1
b11,1
a7,1
d1,1
j14,1
k8,1
b10,1
b4,1
i8,1
b8,1
a6,1
c9,1
l5,1
g9,1
c5,1
