round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
1,red,h4,0,0,0,0,h2-h4,h2,h4,Pawn,0,,43,43,43,43,16,16,16,16
1,blue,d7,0,0,0,0,b7-d7,b7,d7,Pawn,0,,43,43,43,43,16,16,16,16
1,yellow,k12,0,0,0,0,k13-k12,k13,k12,Pawn,0,,43,43,43,43,16,16,16,16
1,green,k8,0,0,0,0,m8-k8,m8,k8,Pawn,0,,43,43,43,43,16,16,16,16
2,red,h5,0,0,0,0,h4-h5,h4,h5,Pawn,0,,43,43,43,43,16,16,16,16
2,blue,e7,0,0,0,0,d7-e7,d7,e7,Pawn,0,,43,43,43,43,16,16,16,16
2,yellow,d12,0,0,0,0,d13-d12,d13,d12,Pawn,0,,43,43,43,43,16,16,16,16
2,green,j8,0,0,0,0,k8-j8,k8,j8,Pawn,0,,43,43,43,43,16,16,16,16
3,red,h6,0,0,0,0,h5-h6,h5,h6,Pawn,0,,43,43,43,43,16,16,16,16
3,blue,f7,0,0,0,0,e7-f7,e7,f7,Pawn,0,,43,43,43,43,16,16,16,16
3,yellow,Nf12,0,0,0,0,Ne14-f12,e14,f12,Knight,0,,43,43,43,43,16,16,16,16
3,green,i8,0,0,0,0,j8-i8,j8,i8,Pawn,0,,43,43,43,43,16,16,16,16
4,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,,43,43,43,43,16,16,16,16
4,blue,c10,0,0,0,0,b10-c10,b10,c10,Pawn,0,,43,43,43,43,16,16,16,16
4,yellow,Ni12,0,0,0,0,Nj14-i12,j14,i12,Knight,0,,43,43,43,43,16,16,16,16
4,green,h8,0,0,0,0,i8-h8,i8,h8,Pawn,0,,43,43,43,43,16,16,16,16
5,red,h7,0,0,0,0,h6-h7,h6,h7,Pawn,0,,43,43,43,43,16,16,16,16
5,blue,Bb10,0,0,0,0,Ba9-b10,a9,b10,Bishop,0,,43,43,43,43,16,16,16,16
5,yellow,g11,0,0,0,0,g13-g11,g13,g11,Pawn,0,,43,43,43,43,16,16,16,16
5,green,l5,0,0,0,0,m5-l5,m5,l5,Pawn,0,,43,43,43,43,16,16,16,16
6,red,e3,0,0,0,0,e2-e3,e2,e3,Pawn,0,,43,43,43,43,16,16,16,16
6,blue,Nc9,0,0,0,0,Na10-c9,a10,c9,Knight,0,,43,43,43,43,16,16,16,16
6,yellow,j12,0,0,0,0,j13-j12,j13,j12,Pawn,0,,43,43,43,43,16,16,16,16
6,green,Nl6,0,0,0,0,Nn5-l6,n5,l6,Knight,0,,43,43,43,43,16,16,16,16
